País,Población (Miles),0 a 14 (%),15 a 64 (%),65 a más (%),Tasa de fecundidad total,Esperanza de vida al nacer Hombre,Esperanza de vida al nacer Mujer
Total mundial,8045311,25,65,10,2,71,76
India,1428628,25,68,7,2,71,74
China,1425671,17,69,14,1,76,82
Estados Unidos de América,339997,18,65,18,2,77,82
Indonesia,277534,25,68,7,2,69,73
Pakistán,240486,36,60,4,3,65,70
Nigeria,223805,43,54,3,5,54,54
Brasil,216422,20,70,10,2,73,79
Bangladesh,172954,26,68,6,2,72,76
Federación Rusa,144444,18,66,16,2,70,79
México,128456,24,67,9,2,72,78
Etiopía,126527,39,58,3,4,64,70
Japón,123295,11,58,30,1,82,88
Filipinas,117337,30,64,6,3,70,74
Egipto,112717,33,62,5,3,68,73
República Democrática del Congo,102263,47,51,3,6,59,63
Vietnam,98859,22,68,10,2,70,79
Irán,89173,23,69,8,2,74,80
Turquía,85816,23,68,9,2,76,82
Alemania,83295,14,63,23,2,80,84
Tailandia,71801,15,69,16,1,76,84
Reino Unido,67737,17,63,19,2,81,84
República Unida de Tanzania,67438,43,54,3,5,65,70
Francia,64757,17,61,22,2,80,86
Sudáfrica,60414,28,66,6,2,60,66
Italia,58871,12,63,24,1,82,86
Kenia,55101,37,60,3,3,61,66
Birmania,54578,24,69,7,2,64,71
Colombia,52085,21,70,9,2,75,80
República de Corea,51784,11,70,18,1,81,87
Uganda,48582,44,54,2,4,62,66
Sudán,48109,41,56,4,4,64,69
España,47520,13,66,21,1,81,87
Argentina,45774,23,65,12,2,75,81
Argelia,45606,30,63,7,3,76,79
Irak,45505,37,59,3,3,70,74
Afganistán,42240,43,55,2,4,61,67
Polonia,41026,15,67,19,2,75,82
Canadá,38781,15,65,20,2,81,85
Marruecos,37840,26,66,8,2,73,77
Arabia Saudita,36947,26,71,3,2,77,80
Ucrania,36745,15,64,20,1,68,78
Angola,36684,45,53,3,5,61,66
Uzbekistán,35164,30,64,5,3,69,74
Yemen,34450,39,58,3,4,61,68
Perú,34353,26,66,9,2,75,79
Malasia,34309,22,70,8,2,74,79
Ghana,34122,37,60,4,4,62,67
Mozambique,33897,43,54,3,5,59,65
Nepal,30897,29,65,6,2,69,73
Madagascar,30326,39,58,3,4,64,69
Costa de Marfil,28873,41,56,2,4,59,61
Venezuela,28838,27,64,9,2,69,77
Camerún,28647,42,55,3,4,60,63
Níger,27203,49,49,2,7,62,64
Australia,26439,18,65,17,2,82,86
Rep. Democrática de Corea,26161,19,69,12,2,71,76
Malí,23294,47,51,2,6,59,61
Burkina Faso,23251,43,54,3,5,59,62
República Árabe Siria,23227,30,66,5,3,69,76
Sri Lanka,21894,22,66,12,2,73,80
Malaui,20932,42,55,3,4,60,67
Zambia,20570,42,56,2,4,60,66
Rumania,19893,16,66,18,2,72,79
Chile,19630,18,68,13,2,79,83
Kazajstán,19607,30,62,8,3,67,74
Chad,18279,47,51,2,6,52,55
Ecuador,18190,25,67,8,2,76,81
Somalia,18143,47,50,3,6,55,59
Guatemala,18092,32,63,5,2,67,73
Senegal,17763,41,56,3,4,67,72
Países Bajos,17618,15,64,21,2,81,84
Camboya,16945,29,65,6,2,69,74
Zimbabue,16665,40,56,3,3,59,64
